ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
149	2,1,5,8,10,2,5,3,5,7	49,39,52,62,53,38,59,33,48,58	1,1,4,1,2,2,11,0,4,2	72,49,52,48,68,72,60,40,31,43	2134	75
151	4,4,5,2,2,2,4,3,4,0	142,152,130,186,134,174,135,147,172,158	2,0,2,2,6,1,3,0,3,2	166,142,107,142,163,124,162,141,161,217	195	75
152	15,12,14,16,8,7,15,9,13,22	36,37,43,48,52,30,41,30,47,50	14,8,8,9,15,7,13,14,16,16	46,49,33,51,51,49,55,38,48,43	1677	75
153	32,37,42,51,59,51,52,43,41,46	0,1,0,0,0,0,0,0,0,0	52,34,33,49,39,31,39,31,49,59	0,0,0,0,0,0,0,1,0,0	1187	75
155	28,31,31,43,27,41,27,42,25,22	11,6,7,7,9,19,5,9,8,9	24,18,37,34,34,34,30,36,28,41	20,14,5,16,2,6,12,9,8,10	953	75
156	31,34,38,46,31,47,27,47,29,26	3,2,0,1,0,1,2,1,1,2	29,22,43,47,36,38,37,40,32,49	3,2,1,3,6,1,4,1,3,5	966	75
157	4,2,3,5,4,3,8,7,3,2	26,30,35,29,27,26,21,27,26,30	2,7,1,1,2,2,2,3,0,1	37,14,31,29,31,22,31,19,30,38	821	75
158	2382,2522,2635,2793,2116,2643,2451,2556,2436,2648	52,71,56,80,60,62,48,51,59,50	2471,2582,2698,2609,2530,2613,2794,2380,2764,2973	49,58,66,53,66,50,62,52,56,58	190	75
160	3,2,2,1,2,0,2,4,2,6	25,29,41,29,19,24,27,26,24,20	1,2,1,0,1,2,2,2,1,1	26,27,23,43,22,24,24,26,28,29	162	75
161	6,3,4,9,10,6,8,6,5,6	32,42,41,33,34,38,23,29,45,36	7,2,2,4,5,6,4,5,4,13	39,42,34,35,27,32,33,42,32,42	219	75
162	1,0,2,1,0,0,1,2,0,0	33,25,23,23,31,15,15,27,32,33	1,0,1,2,0,0,0,0,1,0	28,35,25,27,30,34,28,25,31,27	658	75
163	4,7,8,8,3,8,7,8,9,5	33,34,53,50,30,27,34,46,26,48	13,9,6,3,5,3,4,6,5,10	56,42,29,42,49,24,53,39,41,47	1301	75
164	13,5,9,12,14,9,2,7,5,5	36,60,49,31,45,51,35,32,44,66	15,3,2,10,8,5,9,5,8,9	51,41,49,39,60,55,47,44,43,37	1453	75
165	5,6,5,7,2,4,3,4,4,3	27,28,26,32,43,15,21,17,20,30	7,8,2,5,7,5,2,3,7,9	19,27,39,24,22,27,39,40,28,28	972	75
166	3,5,6,8,3,2,4,2,10,2	1,4,6,0,2,5,1,0,3,2	4,5,3,9,4,1,6,3,3,0	4,3,2,3,0,0,5,2,2,1	348	75
167	18,21,24,27,15,15,21,20,23,16	0,0,0,0,0,0,0,0,0,0	18,29,17,34,33,13,28,14,18,14	0,0,0,0,0,0,1,0,0,0	643	75
168	28,32,38,37,24,16,25,32,40,25	0,0,0,0,0,0,0,1,0,0	30,36,22,44,46,24,42,21,28,24	0,0,0,0,0,0,2,0,0,0	810	75
169	0,0,1,0,0,2,0,0,0,0	7,5,8,1,2,6,3,1,2,3	1,0,0,0,1,0,0,1,2,1	6,3,5,4,2,6,6,2,9,4	538	75
171	12,15,12,20,7,15,16,5,12,16	329,370,389,416,369,345,372,298,356,427	13,2,7,18,10,10,15,7,15,26	334,386,346,393,359,398,426,380,411,449	384	75
172	0,1,0,0,1,0,0,1,1,1	68,75,54,49,56,58,46,80,74,49	0,2,0,0,1,0,1,1,4,1	60,62,60,80,67,57,76,62,58,68	512	75
174	4,0,0,2,1,2,2,4,4,1	31,20,34,26,36,17,28,22,34,37	8,0,2,1,4,1,2,1,2,0	48,47,43,20,33,26,50,25,37,43	311	75
176	2,0,0,0,1,4,3,2,3,0	4,1,4,4,6,0,3,5,4,2	1,0,1,2,1,0,2,3,3,2	3,2,0,1,1,2,3,6,4,2	223	75
179	36,33,71,68,52,29,51,44,49,43	5,6,9,8,7,4,11,7,6,7	44,29,45,45,54,56,49,39,43,32	9,5,4,7,12,4,6,8,7,5	171	75
